country,country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,1352.320627,1366.993146,1528.344578,1556.844452,1823.742614,2026.163818,1961.096317,2122.830759,2165.340915,2144.449634,2108.714173,2101.422187,2096.093111,2060.698973,2079.921861,1968.341002,1516.305667
Albania,ALB,8040.107619,8568.5777,9150.146685,9912.180822,10313.93537,10749.50151,11052.81401,11227.98705,11361.28957,11586.85526,11878.47637,12291.88218,12770.98786,13317.11689,13653.22677,13253.7578,14516.31435
Algeria,DZA,10566.37284,10592.24711,10775.53211,10847.17663,10824.57636,11007.74661,11113.96889,11270.70105,11360.63761,11561.2598,11751.63412,11888.32297,11809.48303,11725.87774,11627.27992,10844.77076,11039.80526
American Samoa,ASM,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,
Angola,AGO,6178.327112,6648.758481,7309.319864,7832.889809,7613.781167,7691.131265,7664.439975,8012.100845,8100.385154,8183.678371,7967.103871,7488.138837,7216.061373,6878.593482,6602.423657,6032.274914,5908.570045
Antigua and Barbuda,ATG,20076.43902,22340.79211,24088.12208,23727.37991,20571.90697,18702.09038,18117.18604,18526.39075,18243.81449,18779.48071,19345.01754,20267.91747,20777.87403,22085.26249,23035.65798,18275.68968,19124.43016
Argentina,ARG,19338.14619,20679.2431,22316.25553,22992.39018,21413.28312,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22071.7481,19685.21587,21527.19614
Armenia,ARM,7259.203892,8273.7857,9476.471494,10201.55945,8819.677459,9068.787651,9551.158131,10289.97563,10677.30365,11105.5325,11506.03899,11580.38364,12509.63961,13231.43107,14317.55287,13357.69706,14193.11683
Aruba,ABW,39166.13379,39146.90934,39866.7156,40096.78145,34978.00914,33639.39618,34446.85689,33815.10934,35720.69811,35467.23576,36490.52446,37043.69815,38865.1882,40706.74951,40780.51657,33155.24309,38866.33328
Australia,AUS,42704.44247,43286.72354,44109.66937,44777.27372,44684.40149,44965.39336,45405.36537,46360.60712,46744.62388,47240.27446,47567.68066,48109.20272,48400.24579,49052.81795,49379.09333,48747.85171,49774.3407
Austria,AUT,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55217.28653,55806.43825,51988.41583,54121.14554
Azerbaijan,AZE,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14431.66105
"Bahamas, The",BHS,37665.3877,38081.24648,38091.90531,36680.82694,34646.59074,34688.0934,34468.88625,35150.56293,33826.34151,34143.03062,34170.23232,33596.63622,34357.27066,34735.12552,35161.83047,26659.23803,30210.16126
Bahrain,BHR,46821.02463,46303.48701,46792.17426,46588.6421,44972.74558,45600.06624,46564.71088,47793.53097,48915.52994,49117.98845,48453.72585,48486.30275,48929.44701,48937.66036,49768.97621,47847.83817,49387.41834
Bangladesh,BGD,2663.096257,2806.592691,2973.281325,3124.226797,3253.091337,3395.364787,3571.058647,3756.931933,3932.70833,4119.424639,4337.385902,4589.093532,4830.776083,5124.498755,5467.207948,5591.373989,5911.012996
Barbados,BRB,16154.2612,17081.63284,17371.07252,17405.89355,16462.70674,16019.50743,15864.57232,15755.26697,15489.76118,15441.21976,15789.45122,16156.51756,16198.96216,16003.85743,15954.80266,13805.77754,13754.80242
Belarus,BLR,11940.1866,13214.87158,14417.35353,15942.89768,16014.11553,17300.70368,18274.02072,18611.45421,18805.43087,19119.34615,18362.74559,17883.1265,18356.10077,18974.69981,19279.20925,19225.57383,19751.20391
Belgium,BEL,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51113.48174,51977.18533,48978.93425,51739.53793
Belize,BLZ,9631.591611,9781.776711,9815.054748,9397.151897,9101.549235,8988.865136,8776.863316,8912.105754,9109.572147,9276.317793,9387.914542,9208.113943,8873.754025,8798.538573,9028.551485,7703.118041,8762.622683
Benin,BEN,2528.676481,2549.194419,2625.212755,2673.769349,2656.431642,2634.134728,2633.93906,2681.351661,2792.0273,2883.899098,2849.820499,2859.391685,2933.837384,3040.16752,3156.438957,3186.478031,3321.552174
Bermuda,BMU,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81423.40845,81681.72667,76117.80474,80271.1326
Bhutan,BTN,5336.77622,5626.054704,6577.431768,6811.933149,7188.859193,7958.226861,8499.354296,8837.576373,8929.046204,9349.044387,9877.247283,10587.57038,10986.88814,11233.78054,11797.2842,10547.05151,10907.85671
Bolivia,BOL,5660.574815,5829.371329,5989.689923,6248.933953,6349.007909,6499.818153,6724.300668,6952.738371,7305.227982,7581.598422,7825.766752,8034.172726,8244.933445,8466.293187,8528.748802,7679.933187,8052.177435
Bosnia and Herzegovina,BIH,8599.635224,9146.110299,9803.101625,10505.79705,10362.6525,10635.1872,10932.13667,11045.21205,11482.3038,11766.00308,12290.35034,12835.30623,13400.04111,14064.33289,14632.12588,14356.42334,15663.74275
Botswana,BWA,12494.21685,13287.22541,13783.37942,13945.5986,11729.56521,12653.37065,13250.25113,12975.94786,14144.51812,14665.27232,13682.70418,14373.51925,14656.77299,14962.08111,15117.995,13545.67363,14840.91333
Brazil,BRA,12520.85499,12877.44418,13518.84778,14067.94581,13916.96323,14824.74115,15271.46935,15425.35293,15751.48445,15695.6431,15011.57719,14402.49401,14477.86177,14619.59113,14685.12789,14021.95762,14592.35296
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,69482.3838,71352.88579,70342.4093,67934.06408,65753.4057,66484.24154,68037.52298,67792.75463,65534.68316,63131.18625,62170.08702,59980.98875,60173.05113,59650.23153,61424.36431,61603.5508,60127.02369
Bulgaria,BGR,14780.09913,15905.87703,17089.51093,18264.77844,17767.5353,18160.62977,18661.50208,18911.60672,18911.14842,19202.83169,19988.24818,20740.81943,21469.97089,22206.15699,23266.06932,22479.58294,24393.77553
Burkina Faso,BFA,1477.039822,1521.154454,1536.385814,1578.345826,1578.148939,1661.872021,1720.082522,1776.390997,1823.594952,1846.645127,1862.854712,1916.756382,1978.155012,2051.218431,2110.062311,2093.733647,2179.789039
Burundi,BDI,796.1087131,809.6960107,807.4474806,812.5921698,801.8034274,804.3549408,807.6649576,814.3207708,824.6105226,831.2948386,781.5792873,764.3366022,750.7876163,740.4482225,729.6584626,711.3552634,705.0304094
Cabo Verde,CPV,4664.659256,4975.918396,5664.389197,5974.775071,5838.215392,5860.498302,6020.223151,6013.055074,5993.118996,5961.996228,5955.606728,6166.313972,6320.342096,6534.460409,6835.078829,5768.538568,6114.133287
Cambodia,KHM,2124.837457,2313.330332,2505.520349,2629.259058,2592.155461,2706.991816,2856.530786,3021.332219,3197.5321,3378.364591,3565.245067,3761.911338,3972.724164,4217.621791,4464.29445,4276.184539,4354.565206
Cameroon,CMR,3228.361161,3261.451655,3309.282295,3308.319908,3298.407452,3298.624579,3314.898234,3371.975533,3442.200627,3530.283191,3614.755716,3667.322675,3691.094724,3732.501248,3756.509562,3665.510581,3700.464289
Canada,CAN,44680.79649,45396.83966,45888.47633,45851.63025,44003.61704,44861.52396,45822.59643,46126.51389,46704.76224,47564.60911,47522.14067,47457.58535,48317.17458,48962.48151,49171.51109,46064.25396,47892.94713
Cayman Islands,CYM,,84778.38463,84870.01221,82125.11489,74068.88086,70095.89581,69103.24371,68270.03664,67537.54884,67762.36084,68135.46407,68824.42604,69534.77191,71046.02185,72402.83665,67093.4024,67500.1043
Central African Republic,CAF,985.324816,1011.77751,1038.750133,1038.335286,1103.463766,1130.895708,1160.414741,1208.51577,764.0515002,765.259554,795.0370187,818.3959953,839.6000095,854.6474913,861.7667888,847.7650124,837.5046857
Chad,TCD,1632.954234,1586.364105,1583.700228,1576.765197,1586.45444,1741.053998,1682.657746,1769.32492,1804.823133,1861.692904,1853.259365,1683.478088,1579.7606,1563.543933,1561.996673,1489.186712,1425.494512
Channel Islands,CHI,,,,,,,,,,,,,,,,,
Chile,CHL,18415.75499,19339.48762,20140.52965,20695.56256,20255.09878,21225.10386,22323.72308,23467.97873,24011.59101,24197.18328,24464.74566,24599.37463,24546.91242,25071.99007,24816.61108,23017.68936,25449.13065
China,CHN,5334.646639,5979.781712,6795.174012,7412.874363,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.76383,16296.7789,17602.69606
Colombia,COL,10150.70792,10692.72765,11272.57798,11507.52583,11507.71711,11890.20308,12578.01563,12934.96575,13465.07504,13938.23152,14215.68825,14358.16822,14334.91461,14426.43438,14616.13512,13387.70116,14648.59218
Comoros,COM,2905.689183,2923.532301,2888.446634,2942.990846,2976.779454,3025.517384,3084.826585,3115.238033,3185.319697,3183.157031,3150.877624,3185.629664,3240.17917,3294.831972,3290.650527,3222.374089,3228.526858
"Congo, Dem. Rep.",COD,754.6644433,769.8871446,792.1908849,815.011857,811.9273452,841.8562872,870.0738056,900.9789904,944.6402475,999.0721335,1032.571865,1021.327198,1023.539833,1048.246447,1059.892111,1044.071214,1073.643271
"Congo, Rep.",COG,4571.793117,4755.030215,4280.024669,4401.664532,4720.414675,4977.973115,4925.376903,5267.049617,5105.169838,5319.387249,5009.432267,4363.753925,4073.926085,3786.412,3695.061694,3384.654335,3234.392972
Costa Rica,CRI,14049.9094,14864.78142,15861.87458,16385.001,16024.03006,16667.01652,17186.44844,17809.94056,18044.94501,18480.65175,18956.19193,19553.59886,20168.22048,20503.2768,20818.06168,19824.34684,21199.28134
Cote d'Ivoire,CIV,3391.711816,3410.997912,3374.847623,3461.711746,3511.292506,3673.181282,3404.524602,3589.421714,3894.515489,4162.024358,4347.777713,4541.194908,4750.936451,4949.614719,5126.634115,5098.559833,5325.030482
Croatia,HRV,23793.05304,24949.93511,26203.43494,26731.1674,24834.34485,24586.13061,24649.7958,24148.74536,24119.75722,24114.22435,24927.03492,25995.19135,27206.96541,28219.96302,29347.54823,26945.90786,31630.17664
Cuba,CUB,,,,,,,,,,,,,,,,,
Curacao,CUW,28067.07899,27802.9785,27932.58871,28186.87088,27855.14058,27527.4893,27305.37387,27061.85357,26539.61024,25869.78189,25604.92944,25113.69509,24599.93783,24193.61298,23659.23473,19607.43188,20783.08561
Cyprus,CYP,37723.33203,38847.97656,39968.39453,40398.67969,38536.03516,38398.55469,37587.21484,35742.66797,33465.82813,33235.25781,34567.80078,36671.55078,38415.10938,40092.67578,41739.46484,39464.53516,41694.25781
Czechia,CZE,30384.44665,32352.81297,33956.24598,34580.44335,32782.61235,33483.13759,34002.18978,33688.09983,33661.46842,34386.70491,36168.41856,37014.95929,38824.88792,39941.28535,40989.72662,38639.97952,40740.99398
Denmark,DNK,51483.27379,53322.289,53569.02802,52982.53174,50114.05005,50825.41229,51293.20618,51216.30941,51479.26645,52048.33549,52892.64603,54185.00848,55356.68078,56178.77463,56813.96416,55518.5971,57962.65409
Djibouti,DJI,2421,2922,3086,3479,2892,2566,3405,3686,3664.268036,3854.269956,4073.622455,4291.297376,4451.683846,4589.378326,4768.113005,4753.887886,4913.256441
Dominica,DMA,10409.98209,10884.25314,11570.17241,12392.82974,12246.99409,12335.10993,12309.86222,12153.68773,12044.22187,12516.38405,12063.89568,12385.26909,11511.60642,11849.30154,12395.42047,10255.76098,10878.03698
Dominican Republic,DOM,10215.49937,11009.27507,11677.25413,11899.22765,11856.04742,12677.01756,12905.28899,13087.94899,13555.51136,14334.73386,15145.46946,15967.20228,16524.53384,17484.12176,18171.06096,16768.4261,18626.07868
Ecuador,ECU,9542.224995,9792.42182,9836.419105,10284.95427,10170.65094,10355.82266,10988.72211,11424.15233,11806.92384,12073.81042,11908.21578,11587.8253,11679.43023,11608.41905,11390.21697,10356.9742,10668.75829
"Egypt, Arab Rep.",EGY,8019.872675,8403.553615,8825.251063,9273.412171,9518.779115,9807.835612,9762.973654,9757.136591,9742.143557,9793.954621,9999.190692,10218.39381,10435.91719,10783.76165,11180.69706,11380.847,11566.04965
El Salvador,SLV,6916.693662,7221.499524,7343.910728,7470.751379,7287.175916,7412.977803,7665.94806,7851.701744,7995.63291,8100.975306,8266.722579,8450.25088,8617.921708,8812.200938,9021.426022,8267.251024,9086.047098
Equatorial Guinea,GNQ,28075.17808,28879.35209,31770.01479,35688.64707,34479.89483,29944.2618,30502.60047,31680.65974,29143.0218,28106.19839,24563.5006,21566.05705,19617.84471,17764.96963,16240.36981,15132.37997,14637.00735
Eritrea,ERI,,,,,,,,,,,,,,,,,
Estonia,EST,26096.98834,28814.92032,31140.57984,29621.76453,25337.17524,26015.74635,27990.13641,28997.32288,29525.11886,30494.0963,31038.80463,32008.93436,33821.93291,34979.86705,36153.43195,35883.26533,38717.69615
Eswatini,SWZ,6298.531144,6639.718442,6894.087577,6913.348429,6989.37791,7221.335964,7347.204589,7701.393989,7949.587934,7969.207713,8088.734481,8113.239607,8213.920625,8342.997666,8501.266335,8290.409451,8856.828974
Ethiopia,ETH,849.8476733,915.6734383,991.8834008,1068.138009,1130.03184,1236.479409,1336.066951,1411.135929,1518.143762,1629.18907,1750.672731,1864.487668,1987.968754,2067.456497,2181.658877,2253.235788,2319.068252
Faroe Islands,FRO,,,,,,,,,,,,,,,,,
Fiji,FJI,10006.76691,10097.96166,9927.0223,9961.512291,9772.743601,10019.4125,10254.3588,10368.21584,10830.61022,11411.18367,11903.50161,12179.07068,12822.0136,13311.16689,13241.35395,10966.92512,10359.20369
Finland,FIN,44786.90966,46412.20035,48664.26571,48817.98949,44662.10014,45874.6613,46825.82484,45952.24638,45328.57532,44976.77645,45072.59021,46206.78781,47570.13358,48048.52462,48583.43399,47443.9036,48753.35471
France,FRA,41638.03178,42362.98541,43123.50113,42993.05952,41544.02261,42145.68195,42862.4158,42789.05191,42813.93354,43021.39464,43345.78643,43705.14756,44577.06457,45245.96087,45922.79474,42233.1396,44993.12595
French Polynesia,PYF,,,,,,,,,,,,,,,,,
Gabon,GAB,15028.36763,14177.08793,14570.75494,13646.61762,13221.76567,13682.84753,14145.6508,14367.99991,14655.36555,14785.39867,14892.03579,14783.07812,14478.13031,14254.4617,14478.00172,13903.28895,13813.72314
"Gambia, The",GMB,2060.522819,1988.097002,1986.395964,2046.134217,2115.614823,2172.193837,1934.727946,1974.094057,1969.77695,1885.142034,1905.822994,1889.138021,1927.039942,2012.59077,2083.309058,2042.620289,2076.566434
Georgia,GEO,7315.19848,8049.906055,9109.897741,9358.61459,9097.421248,9736.732094,10541.4719,11295.75409,11740.08912,12254.64565,12605.14007,12963.74396,13589.70739,14253.40899,14989.25816,13966.32634,15486.65899
Germany,DEU,43949.28818,45678.08192,47100.6097,47643.22274,45044.48639,46999.23997,49757.92416,49872.44749,49954.17375,50845.527,51159.29746,51879.67259,53071.45557,53431.39287,53874.31665,51840.32969,53179.6544
Ghana,GHA,3075.962731,3187.576437,3240.592608,3447.274778,3523.789387,3709.395761,4128.560179,4402.545952,4610.027915,4628.901413,4616.619414,4662.011474,4929.567954,5125.24949,5345.941592,5263.526603,5435.237685
Gibraltar,GIB,,,,,,,,,,,,,,,,,
Greece,GRC,34670.18503,36520.04803,37619.66086,37394.17253,35691.94594,33693.21148,30318.40467,28322.57306,27810.91123,28129.96132,28260.38667,28239.91921,28604.86094,29141.17438,29721.58576,27103.54091,29548.03891
Greenland,GRL,,,,,,,,,,,,,,,,,
Grenada,GRD,13523.77752,12897.59435,13597.08272,13634.03075,12645.69184,12493.88455,12493.16395,12242.95274,12420.1483,13215.91335,13948.46699,14351.28609,14869.98257,15401.72682,15393.79115,13175.42279,13688.2558
Guam,GUM,,,,,,,,,,,,,,,,,
Guatemala,GTM,6753.682536,6972.381592,7269.20626,7365.280436,7262.500109,7335.988974,7503.674656,7590.755467,7734.117707,7939.374378,8125.655534,8206.047987,8322.21681,8469.115288,8671.702718,8390.22218,8926.700117
Guinea,GIN,1788.389653,1772.714977,1850.637203,1881.269791,1815.315777,1856.490189,1912.817857,1976.958089,2005.381908,2028.514781,2053.111602,2217.109307,2383.578867,2471.719002,2545.140202,2604.117234,2640.344191
Guinea-Bissau,GNB,1635.41434,1632.505146,1643.376899,1652.884361,1665.200793,1697.495589,1787.073969,1710.02377,1718.862075,1690.091136,1748.029233,1811.300971,1872.309281,1851.886546,1890.533103,1803.630591,1831.383229
Guyana,GUY,7823.267499,8239.124692,8853.169801,9036.88507,9399.297185,9831.809397,10394.14229,10946.45463,11293.94962,11427.87307,11446.76348,11819.15486,12193.62168,12374.2195,12820.4897,18430.56975,21925.18686
