country_code,year,life_expectancy
AFG,1950,27.7
AFG,1951,28
AFG,1952,28.4
AFG,1953,28.9
AFG,1954,29.2
AFG,1955,29.9
AFG,1956,30.4
AFG,1957,30.9
AFG,1958,31.5
AFG,1959,32
AFG,1960,32.5
AFG,1961,33.1
AFG,1962,33.5
AFG,1963,34
AFG,1964,34.5
AFG,1965,35
AFG,1966,35.5
AFG,1967,35.9
AFG,1968,36.4
AFG,1969,36.9
AFG,1970,37.4
AFG,1971,37.9
AFG,1972,38.4
AFG,1973,39
AFG,1974,39.5
AFG,1975,40.1
AFG,1976,40.6
AFG,1977,41.2
AFG,1978,40.3
AFG,1979,39.1
AFG,1980,39.6
AFG,1981,40.2
AFG,1982,37.8
AFG,1983,38.2
AFG,1984,33.3
AFG,1985,33.6
AFG,1986,39.4
AFG,1987,39.8
AFG,1988,44
AFG,1989,45.2
AFG,1990,46
AFG,1991,46.7
AFG,1992,47.6
AFG,1993,51.5
AFG,1994,51.5
AFG,1995,52.5
AFG,1996,53.2
AFG,1997,53.6
AFG,1998,52.9
AFG,1999,54.8
AFG,2000,55.3
AFG,2001,55.8
AFG,2002,56.5
AFG,2003,57.3
AFG,2004,57.9
AFG,2005,58.4
AFG,2006,58.7
AFG,2007,59.1
AFG,2008,59.9
AFG,2009,60.4
AFG,2010,60.9
AFG,2011,61.4
AFG,2012,61.9
AFG,2013,62.4
AFG,2014,62.5
AFG,2015,62.7
AFG,2016,63.1
AFG,2017,63
AFG,2018,63.1
AFG,2019,63.6
AFG,2020,62.6
AFG,2021,62
AFG,-10000,
AFG,-9000,
AFG,-8000,
AFG,-7000,
AFG,-6000,
AFG,-5000,
AFG,-4000,
AFG,-3000,
AFG,-2000,
AFG,-1000,
AFG,0,
AFG,100,
AFG,200,
AFG,300,
AFG,400,
AFG,500,
AFG,600,
AFG,700,
AFG,800,
AFG,900,
AFG,1000,
AFG,1100,
AFG,1200,
AFG,1300,
AFG,1400,
AFG,1500,
AFG,1600,
AFG,1700,
AFG,1710,
AFG,1720,
AFG,1730,
AFG,1740,
AFG,1750,
AFG,1760,
AFG,1770,
AFG,1780,
AFG,1790,
AFG,1800,
AFG,1801,
AFG,1802,
AFG,1803,
AFG,1804,
AFG,1805,
AFG,1806,
AFG,1807,
AFG,1808,
AFG,1809,
AFG,1810,
AFG,1811,
AFG,1812,
AFG,1813,
AFG,1814,
AFG,1815,
AFG,1816,
AFG,1817,
AFG,1818,
AFG,1819,
AFG,1820,
AFG,1821,
AFG,1822,
AFG,1823,
AFG,1824,
AFG,1825,
AFG,1826,
AFG,1827,
AFG,1828,
AFG,1829,
AFG,1830,
AFG,1831,
AFG,1832,
AFG,1833,
AFG,1834,
AFG,1835,
AFG,1836,
AFG,1837,
AFG,1838,
AFG,1839,
AFG,1840,
AFG,1841,
AFG,1842,
AFG,1843,
AFG,1844,
AFG,1845,
AFG,1846,
AFG,1847,
AFG,1848,
AFG,1849,
AFG,1850,
AFG,1851,
AFG,1852,
AFG,1853,
AFG,1854,
AFG,1855,
AFG,1856,
AFG,1857,
AFG,1858,
AFG,1859,
AFG,1860,
AFG,1861,
AFG,1862,
AFG,1863,
AFG,1864,
AFG,1865,
AFG,1866,
AFG,1867,
AFG,1868,
AFG,1869,
AFG,1870,
AFG,1871,
AFG,1872,
AFG,1873,
AFG,1874,
AFG,1875,
AFG,1876,
AFG,1877,
AFG,1878,
AFG,1879,
AFG,1880,
AFG,1881,
AFG,1882,
AFG,1883,
AFG,1884,
AFG,1885,
AFG,1886,
AFG,1887,
AFG,1888,
AFG,1889,
AFG,1890,
AFG,1891,
AFG,1892,
AFG,1893,
AFG,1894,
AFG,1895,
AFG,1896,
AFG,1897,
AFG,1898,
AFG,1899,
AFG,1900,
AFG,1901,
AFG,1902,
AFG,1903,
AFG,1904,
AFG,1905,
AFG,1906,
AFG,1907,
AFG,1908,
AFG,1909,
AFG,1910,
AFG,1911,
AFG,1912,
AFG,1913,
AFG,1914,
AFG,1915,
AFG,1916,
AFG,1917,
AFG,1918,
AFG,1919,
AFG,1920,
AFG,1921,
AFG,1922,
AFG,1923,
AFG,1924,
AFG,1925,
AFG,1926,
AFG,1927,
AFG,1928,
AFG,1929,
AFG,1930,
AFG,1931,
AFG,1932,
AFG,1933,
AFG,1934,
AFG,1935,
AFG,1936,
AFG,1937,
AFG,1938,
AFG,1939,
AFG,1940,
AFG,1941,
AFG,1942,
AFG,1943,
AFG,1944,
AFG,1945,
AFG,1946,
AFG,1947,
AFG,1948,
AFG,1949,
,-10000,
,-9000,
,-8000,
,-7000,
,-6000,
,-5000,
,-4000,
,-3000,
,-2000,
,-1000,
,0,
,100,
,200,
,300,
,400,
,500,
,600,
,700,
,800,
,900,
,1000,
,1100,
,1200,
,1300,
,1400,
,1500,
,1600,
,1700,
,1710,
,1720,
,1730,
,1740,
,1750,
,1760,
,1770,
,1780,
,1790,
,1800,
,1801,
,1802,
,1803,
,1804,
,1805,
,1806,
,1807,
,1808,
,1809,
,1810,
,1811,
,1812,
,1813,
,1814,
,1815,
,1816,
,1817,
,1818,
,1819,
,1820,
,1821,
,1822,
,1823,
,1824,
,1825,
,1826,
,1827,
,1828,
,1829,
,1830,
,1831,
,1832,
,1833,
,1834,
,1835,
,1836,
,1837,
,1838,
,1839,
,1840,
,1841,
,1842,
,1843,
,1844,
,1845,
,1846,
,1847,
,1848,
,1849,
,1850,
,1851,
,1852,
,1853,
,1854,
,1855,
,1856,
,1857,
,1858,
,1859,
,1860,
,1861,
,1862,
,1863,
,1864,
,1865,
,1866,
,1867,
,1868,
,1869,
,1870,
,1871,
,1872,
,1873,
,1874,
,1875,
,1876,
,1877,
,1878,
,1879,
,1880,
,1881,
,1882,
,1883,
,1884,
,1885,
,1886,
,1887,
,1888,
,1889,
,1890,
,1891,
,1892,
,1893,
,1894,
,1895,
,1896,
,1897,
,1898,
,1899,
,1900,
,1901,
,1902,
,1903,
,1904,
,1905,
,1906,
,1907,
,1908,
,1909,
,1910,
,1911,
,1912,
,1913,
,1914,
,1915,
,1916,
,1917,
,1918,
,1919,
,1920,
,1921,
,1922,
,1923,
,1924,
,1925,
,1926,
,1927,
,1928,
,1929,
,1930,
,1931,
,1932,
,1933,
,1934,
,1935,
,1936,
,1937,
,1938,
,1939,
,1940,
,1941,
,1942,
,1943,
,1944,
,1945,
,1946,
,1947,
,1948,
,1949,
,1950,
,1951,
,1952,
,1953,
,1954,
,1955,
,1956,
,1957,
,1958,
,1959,
,1960,
,1961,
,1962,
,1963,
,1964,
,1965,
,1966,
,1967,
,1968,
,1969,
,1970,
,1971,
,1972,
,1973,
,1974,
,1975,
,1976,
,1977,
,1978,
,1979,
,1980,
,1981,
,1982,
,1983,
,1984,
,1985,
,1986,
,1987,
,1988,
,1989,
,1990,
,1991,
,1992,
,1993,
,1994,
,1995,
,1996,
,1997,
,1998,
,1999,
,2000,
,2001,
,2002,
,2003,
,2004,
,2005,
,2006,
,2007,
,2008,
,2009,
,2010,
,2011,
,2012,
,2013,
,2014,
,2015,
,2016,
,2017,
,2018,
,2019,
,2020,
,2021,
,1950,37.6
